"vote","income","female","age"
0,"lowest",1,66
1,"highest",0,65
1,"moderate",1,30
0,"moderate",1,51
1,"high",0,41
1,"highest",1,54
1,"high",0,37
1,"moderate",0,33
1,"highest",1,34
1,"high",1,66
0,"moderate",1,72
1,"moderate",0,26
0,"high",1,77
0,"lowest",1,83
1,"moderate",1,65
1,"moderate",1,39
0,"moderate",1,59
1,"high",0,37
0,"lowest",0,23
1,"highest",0,42
0,"low",1,29
0,"high",1,28
1,"moderate",1,61
1,"high",0,56
1,"moderate",0,24
1,"moderate",1,20
0,"lowest",1,79
0,"highest",1,46
1,"high",1,36
1,"moderate",0,75
0,"high",1,53
1,"high",1,30
1,"moderate",1,41
1,"moderate",1,47
0,"moderate",1,39
1,"high",1,72
0,"low",0,26
1,"low",1,46
0,"low",1,61
1,"moderate",1,29
0,"high",1,37
1,"moderate",0,46
0,"lowest",1,23
1,"moderate",0,64
0,"lowest",1,75
1,"moderate",0,31
1,"high",0,40
0,"low",0,76
0,"moderate",1,69
0,"moderate",0,59
0,"high",0,32
0,"moderate",1,52
1,"low",0,61
1,"lowest",1,72
0,"moderate",1,30
1,"low",1,82
0,"high",1,43
1,"low",0,76
1,"highest",1,52
0,"moderate",0,38
1,"highest",1,38
1,"moderate",0,42
0,"lowest",1,89
1,"moderate",0,30
1,"lowest",1,73
1,"high",0,61
1,"low",0,25
1,"moderate",0,48
1,"high",1,24
1,"low",1,29
0,"lowest",0,57
0,"moderate",0,63
0,"moderate",0,61
1,"moderate",0,25
0,"moderate",0,67
0,"high",1,29
0,"high",1,18
0,"high",1,40
0,"low",0,22
1,"lowest",0,32
0,"moderate",0,70
1,"moderate",1,51
0,"low",1,72
0,"high",0,33
1,"moderate",1,25
1,"low",1,25
0,"low",0,32
0,"low",0,80
1,"lowest",1,50
1,"high",0,34
1,"moderate",1,21
1,"low",0,42
1,"low",1,29
1,"moderate",0,42
1,"high",1,33
0,"moderate",0,41
1,"moderate",0,29
1,"lowest",1,77
0,"lowest",1,67
1,"moderate",1,51
1,"low",1,34
1,"moderate",0,67
1,"moderate",0,75
1,"moderate",1,47
0,"low",1,80
1,"low",1,87
1,"moderate",0,67
0,"high",1,36
1,"moderate",1,25
1,"low",1,36
0,"high",1,36
1,"high",1,51
0,"moderate",1,35
0,"low",0,36
1,"high",0,37
0,"high",1,48
1,"high",0,30
1,"moderate",0,58
0,"high",0,58
0,"moderate",0,36
1,"moderate",0,50
1,"low",1,34
0,"high",0,69
1,"moderate",0,33
0,"low",1,28
1,"high",1,34
0,"high",0,57
1,"low",1,88
1,"high",0,28
0,"moderate",1,38
1,"high",0,74
1,"highest",1,38
1,"low",1,79
1,"high",0,31
0,"lowest",0,39
0,"low",1,64
1,"moderate",0,29
1,"moderate",1,54
0,"high",0,41
0,"low",1,21
0,"highest",1,35
1,"moderate",1,30
1,"high",0,35
0,"moderate",1,62
0,"lowest",1,44
1,"highest",1,35
0,"moderate",0,84
1,"high",0,37
1,"high",1,33
0,"high",1,31
1,"low",1,77
1,"highest",0,45
0,"moderate",1,25
1,"high",0,52
1,"high",0,53
1,"low",1,67
0,"low",1,62
0,"low",1,57
1,"low",0,69
1,"low",0,70
0,"high",0,42
1,"high",0,36
0,"moderate",1,30
1,"high",0,18
1,"lowest",0,22
1,"low",1,24
0,"moderate",1,30
0,"moderate",0,39
0,"moderate",0,57
0,"moderate",0,49
1,"low",1,72
0,"moderate",1,53
1,"highest",1,18
1,"highest",0,30
1,"moderate",1,41
1,"high",0,34
1,"high",0,35
0,"low",0,23
0,"low",1,63
1,"high",1,20
1,"moderate",0,71
1,"highest",1,32
0,"moderate",0,65
1,"high",0,28
1,"moderate",1,29
0,"low",0,64
1,"moderate",1,45
1,"moderate",1,68
1,"moderate",0,69
1,"moderate",1,49
1,"high",0,35
1,"moderate",0,49
0,"high",0,47
1,"moderate",1,78
1,"high",0,43
1,"high",0,53
0,"high",0,39
1,"moderate",0,72
1,"moderate",0,76
1,"high",0,53
1,"moderate",1,60
0,"moderate",1,25
0,"moderate",0,58
0,"low",1,85
1,"high",1,46
1,"moderate",1,32
1,"low",0,68
1,"moderate",0,31
0,"lowest",1,79
1,"moderate",1,38
1,"moderate",1,74
1,"moderate",0,51
1,"moderate",0,69
1,"high",1,49
0,"moderate",0,69
1,"moderate",1,33
1,"moderate",0,60
1,"highest",0,45
0,"high",0,63
1,"lowest",0,76
1,"low",1,78
1,"highest",1,50
0,"lowest",1,23
1,"high",0,61
0,"lowest",0,82
1,"high",1,33
0,"high",1,34
1,"high",0,38
0,"lowest",0,54
1,"moderate",0,33
1,"highest",1,63
1,"highest",0,37
1,"high",1,77
1,"high",1,34
1,"high",0,35
1,"high",1,30
1,"highest",0,28
0,"moderate",1,53
0,"low",0,37
1,"moderate",1,30
1,"high",0,57
1,"moderate",1,33
1,"highest",0,26
1,"lowest",1,75
0,"low",1,66
0,"lowest",1,27
0,"lowest",1,67
1,"low",1,70
1,"moderate",0,34
0,"high",0,35
1,"high",0,40
0,"low",0,31
1,"high",0,33
0,"high",1,56
1,"low",0,38
0,"high",0,46
1,"moderate",0,41
0,"low",1,59
0,"high",0,57
1,"lowest",0,22
1,"low",1,39
1,"moderate",1,68
0,"moderate",1,63
1,"low",1,48
1,"high",1,47
1,"high",0,24
0,"high",0,31
1,"high",0,45
0,"lowest",1,71
1,"moderate",1,46
1,"high",0,37
1,"high",1,46
1,"moderate",0,72
1,"moderate",0,41
0,"low",1,30
1,"moderate",1,38
0,"high",1,63
1,"high",1,44
0,"moderate",1,56
0,"high",1,44
0,"high",0,37
0,"moderate",1,59
1,"moderate",0,38
1,"moderate",1,31
1,"high",1,38
0,"moderate",0,33
0,"high",0,33
0,"moderate",1,30
1,"moderate",1,61
1,"high",1,55
0,"moderate",1,59
0,"high",1,32
0,"moderate",0,63
0,"lowest",1,20
0,"low",1,74
1,"moderate",0,46
0,"low",1,24
1,"moderate",1,51
1,"low",0,27
1,"moderate",0,37
0,"highest",1,35
0,"high",0,42
1,"high",1,23
0,"lowest",1,19
1,"high",0,37
1,"moderate",1,64
1,"high",1,48
1,"high",1,68
1,"high",0,54
1,"moderate",0,41
0,"lowest",1,74
1,"moderate",0,70
0,"moderate",1,32
1,"moderate",0,22
1,"lowest",0,49
1,"low",1,19
1,"low",1,26
1,"highest",0,46
0,"lowest",1,62
1,"high",1,44
1,"high",1,34
1,"lowest",1,18
1,"low",0,34
1,"highest",1,41
0,"high",1,44
1,"moderate",1,41
0,"moderate",0,37
1,"high",1,39
1,"moderate",0,44
0,"moderate",1,61
0,"highest",0,54
1,"high",1,43
1,"low",1,50
1,"moderate",0,32
1,"moderate",1,25
1,"moderate",0,53
1,"moderate",0,77
1,"moderate",1,30
1,"high",1,55
1,"moderate",0,28
1,"moderate",1,37
0,"low",1,47
0,"low",1,43
0,"low",1,49
1,"moderate",0,23
1,"high",1,28
0,"moderate",1,39
0,"moderate",0,29
1,"high",0,41
0,"moderate",1,50
1,"moderate",1,32
1,"moderate",1,25
1,"moderate",0,32
1,"moderate",0,69
1,"high",1,45
1,"moderate",0,36
0,"moderate",1,24
0,"moderate",1,40
1,"moderate",1,70
0,"high",1,62
1,"high",1,31
1,"moderate",1,28
0,"high",1,58
1,"moderate",1,35
0,"high",1,21
0,"low",1,84
0,"moderate",0,37
0,"moderate",0,48
0,"low",1,23
0,"moderate",0,46
0,"high",0,27
0,"moderate",1,27
0,"lowest",0,78
1,"moderate",1,34
1,"moderate",1,39
0,"moderate",0,48
1,"low",1,39
0,"moderate",1,43
1,"moderate",0,66
1,"moderate",1,35
0,"high",1,23
1,"moderate",1,61
1,"moderate",1,27
1,"high",0,41
1,"high",1,50
0,"low",0,29
0,"high",0,58
0,"high",1,57
1,"high",0,27
1,"moderate",0,36
0,"highest",1,40
0,"moderate",1,46
0,"moderate",0,56
0,"low",1,29
1,"moderate",0,17
1,"highest",1,21
1,"high",0,48
1,"moderate",0,72
1,"high",0,42
0,"moderate",0,55
1,"high",0,29
1,"moderate",1,37
1,"low",1,77
0,"lowest",0,24
1,"moderate",0,28
0,"moderate",1,33
1,"high",0,61
0,"moderate",0,38
1,"highest",0,62
0,"moderate",0,57
0,"lowest",1,77
1,"low",0,60
1,"highest",1,44
1,"highest",0,41
1,"moderate",1,57
0,"high",1,43
1,"high",0,33
1,"moderate",0,79
1,"moderate",0,23
0,"high",1,54
1,"high",1,33
0,"low",0,65
1,"moderate",1,33
1,"moderate",0,80
0,"high",0,36
1,"moderate",0,52
1,"high",1,34
0,"moderate",1,26
1,"moderate",1,62
1,"low",1,59
0,"moderate",1,29
1,"moderate",1,25
1,"moderate",0,25
1,"moderate",0,24
1,"highest",0,55
0,"moderate",1,33
1,"high",1,34
1,"high",1,32
1,"high",1,31
1,"moderate",1,54
1,"high",1,36
1,"low",0,77
0,"moderate",1,86
1,"high",1,50
0,"lowest",1,63
1,"high",0,40
0,"low",1,29
1,"moderate",0,63
1,"highest",0,45
1,"lowest",1,73
1,"high",0,26
1,"moderate",1,55
1,"moderate",1,33
1,"high",1,50
0,"low",0,78
0,"low",1,28
0,"high",1,55
1,"moderate",0,22
1,"high",1,57
1,"high",1,32
1,"low",0,65
1,"lowest",1,20
0,"high",0,48
0,"moderate",0,31
0,"high",0,59
0,"moderate",0,39
1,"moderate",0,39
0,"moderate",1,18
1,"moderate",0,54
1,"highest",1,37
1,"low",0,47
1,"lowest",1,63
0,"highest",1,41
0,"moderate",1,72
0,"high",1,52
1,"high",0,38
0,"high",1,34
1,"high",0,62
0,"high",0,40
0,"high",1,18
0,"moderate",1,33
1,"high",0,21
0,"high",0,57
0,"moderate",0,49
0,"low",0,49
1,"moderate",1,55
0,"high",1,47
0,"high",0,34
1,"high",0,64
1,"high",0,72
0,"low",1,64
0,"low",0,68
0,"moderate",0,33
1,"highest",1,47
1,"high",0,41
1,"highest",1,50
1,"moderate",1,29
1,"moderate",0,25
1,"high",1,31
1,"lowest",1,36
0,"moderate",0,59
1,"high",1,52
1,"low",1,25
1,"high",0,31
1,"highest",0,31
0,"low",0,70
1,"high",1,28
1,"low",1,68
1,"moderate",1,39
0,"low",0,74
1,"moderate",1,63
1,"low",1,67
1,"high",1,45
0,"low",0,55
1,"moderate",0,69
0,"low",1,73
0,"lowest",0,25
0,"high",0,52
0,"moderate",0,64
1,"high",0,41
0,"lowest",1,34
0,"moderate",0,41
0,"moderate",1,64
1,"highest",0,65
0,"low",1,29
1,"low",0,50
0,"moderate",1,56
1,"high",1,33
1,"highest",1,24
0,"lowest",0,75
1,"high",0,50
0,"moderate",1,57
1,"low",1,27
1,"high",1,20
0,"lowest",0,65
0,"lowest",1,29
0,"low",1,24
1,"high",0,43
1,"low",1,63
1,"moderate",0,30
1,"high",0,45
0,"highest",0,36
